paper_id,methods,model1,model2,model3,model4,model5,model6
cloudcast-a-satellite-based-dataset-and,"Tanh Activation, Sigmoid Activation, ConvLSTM, Convolution",LSTM,ConvLSTM,,,,
in-search-of-the-weirdest-galaxies-in-the,AutoEncoder,Autoencoder,,,,,
graph-neural-networks-for-node-level,Graph Neural Network,GNN,,,,,
mcunet-tiny-deep-learning-on-iot-devices,"Average Pooling, Pointwise Convolution, Convolution, Depthwise Separable Convolution, MobileNetV2, 1x1 Convolution, Depthwise Convolution, Inverted Residual Block, Batch Normalization",LeNet,MobileNetV2,,,,
revisiting-sorted-table-search-procedures,Linear Regression,Linear Regression,,,,,
a-machine-learning-approach-for-task-and,Q-Learning,Q-Learning,,,,,
unsupervised-anomaly-detection-for-discrete,"Tanh Activation, LSTM, Sigmoid Activation, Seq2Seq",Seq2Seq,LSTM,,,,
multi-level-training-and-bayesian,"Gaussian Process, HPO",Gaussian Process,,,,,
a-robust-interactive-facial-animation-editing,AutoEncoder,Autoencoder,,,,,
vae-lime-deep-generative-model-based-approach,"AutoEncoder, VAE, LIME",VAE,Autoencoder,,,,
an-autoencoder-based-approach-to-simulate,AutoEncoder,Autoencoder,,,,,
an-approach-for-auxiliary-diagnosing-and,Logistic Regression,Logistic Regression,,,,,
interpretable-multidimensional-multimodal,SVM,SVM,,,,,
bayesian-few-shot-classification-with-one-vs,"Gaussian Process, Polya-Gamma Augmentation, Softmax",Gaussian Process,,,,,
coarse-graining-molecular-dynamics-with-graph,Graph Neural Network,GNN,,,,,
machine-learning-approach-of-automatic,"KNN and IOU based verification, Leaky ReLU, Dense Connections, YOLOv1, Non Maximum Suppression, Convolution, Max Pooling, 1x1 Convolution, Dropout",YOLOv1,KNN,,,,
latent-space-time-evolution-of-non-intrusive,Gaussian Process,Gaussian Process,,,,,
a-novel-ensemble-deep-learning-model-for,"Tanh Activation, Memory Network, GRU, LSTM, Sigmoid Activation",GRU,LSTM,,,,
fedemail-performance-measurement-of-privacy,"Adam, Dropout, Linear Layer, Attention Dropout, GELU, Dense Connections, Multi-Head Attention, WordPiece, Residual Connection, Layer Normalization, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Softmax, Weight Decay",BERT,,,,,
predicting-heave-and-surge-motions-of-a-semi,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
aarsynth-app-aware-response-synthesis-for,"Tanh Activation, LSTM, Sigmoid Activation, Seq2Seq",Seq2Seq,LSTM,,,,
machine-learning-for-complete-intersection,Linear Regression,Linear Regression,,,,,
bert-learns-and-teaches-chemistry,"Adam, Dropout, Linear Layer, Attention Dropout, GELU, Dense Connections, Multi-Head Attention, WordPiece, Residual Connection, Layer Normalization, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Convolution, Softmax, Weight Decay",BERT,,,,,
the-price-of-tailoring-the-index-to-your-data,Linear Regression,Linear Regression,,,,,
multi-node-bert-pretraining-cost-efficient,"Layer Normalization, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Softmax, Weight Decay, Linear Warmup With Cosine Annealing, Adam, Dropout, BPE, Linear Layer, Attention Dropout, Discriminative Fine-Tuning, GELU, XLNet, SentencePiece, Dense Connections, Cosine Annealing, Multi-Head Attention, GPT-2, WordPiece, Residual Connection",BERT,GPT,XLNet,,,
a-comparative-study-of-ai-based-intrusion,Q-Learning,Q-Learning,,,,,
macroeconomic-data-transformations-matter,Linear Regression,Linear Regression,,,,,
predicting-multiple-icd-10-codes-from,Logistic Regression,Logistic Regression,,,,,
to-bert-or-not-to-bert-comparing-speech-and,"Layer Normalization, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Softmax, Weight Decay, Position-Wise Feed-Forward Layer, Adam, Absolute Position Encodings, BPE, Dropout, Linear Layer, Attention Dropout, GELU, Dense Connections, Label Smoothing, Transformer, Multi-Head Attention, WordPiece, Residual Connection",BERT,Transformer,,,,
a-causal-based-framework-for-multimodal,AutoEncoder,Autoencoder,,,,,
trove-ontology-driven-weak-supervision-for,"GELU, Layer Normalization, Dense Connections, BERT, Linear Warmup, Scaled Dot-Product Attention, Softmax, Multi-Head Attention, Adam, Dropout, WordPiece, Linear Layer",BERT,,,,,
hopfield-networks-is-all-you-need,"Layer Normalization, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Softmax, Weight Decay, Position-Wise Feed-Forward Layer, Adam, Absolute Position Encodings, BPE, Dropout, Linear Layer, Attention Dropout, GELU, Dense Connections, Label Smoothing, Transformer, Multi-Head Attention, WordPiece, Residual Connection, Hopfield Layer",BERT,Transformer,,,,
unsupervised-learning-for-identifying-events,AutoEncoder,Autoencoder,,,,,
qubo-formulations-for-training-machine,SVM,SVM,,,,,
adiabatic-quantum-linear-regression,Linear Regression,Linear Regression,,,,,
learning-insulin-glucose-dynamics-in-the-wild,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
protein-structured-reservoir-computing-for,Linear Regression,Linear Regression,,,,,
boosting-ant-colony-optimization-via-solution,Logistic Regression,Logistic Regression,,,,,
a-comparison-of-synthetic-oversampling,"SMOTE, SVM",SVM,,,,,
an-automated-end-to-end-framework-for,Logistic Regression,Logistic Regression,,,,,
improving-the-performance-of-fine-grain-image,"Path Length Regularization, Leaky ReLU, Convolution, StyleGAN2, R1 Regularization, Weight Demodulation",GAN,StyleGAN2,StyleGAN,,,
an-efficient-hybrid-deep-learning-approach,"SVM, Feature Selection",SVM,,,,,
a-community-powered-search-of-machine,"Dense Connections, Label Smoothing, Transformer, Multi-Head Attention, Graph Transformer, Residual Connection, Layer Normalization, Laplacian PE, Scaled Dot-Product Attention, Softmax, LapEigen, Position-Wise Feed-Forward Layer, Adam, Absolute Position Encodings, Dropout, BPE, Linear Layer",Transformer,,,,,
deep-learning-to-quantify-pulmonary-edema-in,AutoEncoder,Autoencoder,,,,,
mice-mining-idioms-with-contextual-embeddings,"Adam, Dropout, Linear Layer, Attention Dropout, GELU, LSTM, Dense Connections, ELMo, BiLSTM, Multi-Head Attention, WordPiece, Residual Connection, Tanh Activation, Layer Normalization, Sigmoid Activation, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Softmax, Weight Decay",BERT,ELMo,LSTM,BiLSTM,,
machine-learning-for-robust-identification-of,Linear Regression,Linear Regression,,,,,
prediction-of-homicides-in-urban-centers-a,Logistic Regression,Logistic Regression,,,,,
physical-action-categorization-using-signal,"k-NN, PCA, SVM",SVM,,,,,
tempnodeemb-temporal-node-embedding,Graph Neural Network,GNN,,,,,
model-patching-closing-the-subgroup,"ReLU, Cycle Consistency Loss, GAN Least Squares Loss, Batch Normalization, Residual Connection, Tanh Activation, CycleGAN, Sigmoid Activation, Leaky ReLU, PatchGAN, Instance Normalization, Residual Block, Convolution",GAN,,,,,
obtaining-adjustable-regularization-for-free,"Linear Regression, SGD",Linear Regression,,,,,
on-the-generalization-properties-of-1,Linear Regression,Linear Regression,,,,,
neural-networks-in-day-ahead-electricity,Linear Regression,Linear Regression,,,,,
predicting-future-sales-of-retail-products,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
reinforcement-learning-with-quantum,"DQN, Dense Connections, Q-Learning, Convolution, Double DQN, Double Q-learning, Experience Replay",Q-Learning,,,,,
predicting-coordinated-actuated-traffic,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
deep-learning-based-on-generative-adversarial,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
demand-forecasting-using-long-short-term,Linear Regression,Linear Regression,,,,,
name-that-manufacturer-relating-image,"Average Pooling, U-Net, Concatenated Skip Connection, Global Average Pooling, Convolution, Residual Block, Max Pooling, 1x1 Convolution, ReLU, Kaiming Initialization, Batch Normalization, Bottleneck Residual Block, Residual Connection, ResNet",ResNet,,,,,
slide-free-muse-microscopy-to-h-e-histology,"Cycle Consistency Loss, ReLU, GAN Least Squares Loss, Batch Normalization, Residual Connection, Tanh Activation, CycleGAN, Sigmoid Activation, Leaky ReLU, PatchGAN, Instance Normalization, Residual Block",GAN,,,,,
when-homomorphic-encryption-marries-secret,Logistic Regression,Logistic Regression,,,,,
learning-low-frequency-temporal-patterns-for,"Restricted Boltzmann Machine, AutoEncoder",Autoencoder,,,,,
duth-at-semeval-2020-task-11-bert-with-entity,"Weight Decay, Adam, Feature Selection, Dropout, Linear Layer, Attention Dropout, GELU, Dense Connections, Multi-Head Attention, WordPiece, Residual Connection, Layer Normalization, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Softmax",BERT,,,,,
an-empirical-investigation-of-different,SVM,SVM,,,,,
exoplanet-validation-with-machine-learning-50,Gaussian Process,Gaussian Process,,,,,
machine-learning-approaches-to-real-estate,Logistic Regression,Logistic Regression,,,,,
fast-approximate-multi-output-gaussian,Gaussian Process,Gaussian Process,,,,,
hinglishnlp-fine-tuned-language-models-for,"Attention Dropout, GELU, DropConnect, Dense Connections, WordPiece, Residual Connection, Embedding Dropout, Layer Normalization, Sigmoid Activation, Scaled Dot-Product Attention, Softmax, RoBERTa, Weight Decay, Weight Tying, Dropout, Linear Layer, Discriminative Fine-Tuning, Variational Dropout, LSTM, Slanted Triangular Learning Rates, Multi-Head Attention, Temporal Activation Regularization, AWD-LSTM, Tanh Activation, Linear Warmup With Linear Decay, BERT, Activation Regularization, Adam, ULMFiT",BERT,LSTM,RoBERTa,,,
a-multitask-deep-learning-approach-for-user,"Scaled Dot-Product Attention, Softmax, Multi-Head Attention, Adam, Dropout, BPE, Linear Layer, Residual Connection, GELU, Layer Normalization, XLNet, SentencePiece, Linear Warmup With Linear Decay, Dense Connections",XLNet,,,,,
multimodal-learning-for-cardiovascular-risk,"Tanh Activation, LSTM, Sigmoid Activation, BiLSTM",LSTM,BiLSTM,,,,
learning-efficient-parameter-server,Q-Learning,Q-Learning,,,,,
on-transfer-learning-of-traditional-frequency,Logistic Regression,Logistic Regression,,,,,
a-new-training-protocol-for-performance,Logistic Regression,Logistic Regression,,,,,
a-novel-multiple-ensemble-learning-models,SVM,SVM,,,,,
towards-demystifying-dimensions-of-source,SVM,SVM,,,,,
knowledge-efficient-deep-learning-for-natural,"Layer Normalization, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Softmax, Weight Decay, Linear Warmup With Cosine Annealing, Adam, Dropout, BPE, Linear Layer, Attention Dropout, Discriminative Fine-Tuning, Memory Network, GELU, Dense Connections, Cosine Annealing, GPT, Multi-Head Attention, WordPiece, Residual Connection",BERT,GPT,,,,
machine-learning-thermal-circuit-network,"Gaussian Process, GA",Gaussian Process,,,,,
solving-the-single-track-train-scheduling,Q-Learning,Q-Learning,,,,,
dave-deriving-automatically-verilog-from,"Scaled Dot-Product Attention, Softmax, Weight Decay, Linear Warmup With Cosine Annealing, Adam, BPE, Dropout, Linear Layer, Discriminative Fine-Tuning, Attention Dropout, GELU, Dense Connections, Cosine Annealing, Multi-Head Attention, GPT-2, Residual Connection, Layer Normalization",GPT,,,,,
quantum-long-short-term-memory,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
fairxgboost-fairness-aware-classification-in,Logistic Regression,Logistic Regression,,,,,
active-deep-learning-method-for-the-discovery,"Dense Connections, ZFNet, Local Contrast Normalization, Convolution, Softmax, Max Pooling, ReLU, Dropout",ZFNet,,,,,
black-box-to-white-box-discover-model,"Scaled Dot-Product Attention, Softmax, Weight Decay, Linear Warmup With Cosine Annealing, Adam, BPE, Dropout, Linear Layer, Discriminative Fine-Tuning, Attention Dropout, GELU, Dense Connections, Cosine Annealing, Multi-Head Attention, GPT-2, Residual Connection, Layer Normalization",GPT,,,,,
automatic-detection-of-microsleep-episodes,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
deep-learning-for-the-analysis-of-disruption,AutoEncoder,Autoencoder,,,,,
the-integrity-of-machine-learning-algorithms,Logistic Regression,Logistic Regression,,,,,
graph-convolutional-networks-reveal-neural,GCN,GCN,,,,,
molecular-insights-from-conformational,"Feedforward Network, PCA, Dense Connections, AutoEncoder, Restricted Boltzmann Machine",Autoencoder,,,,,
hierarchical-message-passing-graph-neural,Graph Neural Network,GNN,,,,,
physics-informed-gaussian-process-for-online,Gaussian Process,Gaussian Process,,,,,
method-for-classifying-a-noisy-raman-spectrum,"DCNN, k-NN, Convolution, SVM",SVM,CNN,DCNN,,,
going-deep-using-deep-learning-techniques,SVM,SVM,,,,,
health-behaviors-associated-with-the-growing,Logistic Regression,Logistic Regression,,,,,
neural-time-dependent-partial-differential,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
multi-modal-embeddings-using-multi-task,"Tanh Activation, LSTM, Sigmoid Activation, ELMo, GloVe, Softmax, BiLSTM",ELMo,LSTM,BiLSTM,,,
modern-methods-for-text-generation,"Layer Normalization, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Softmax, Weight Decay, Linear Warmup With Cosine Annealing, Adam, Dropout, BPE, Linear Layer, Attention Dropout, Discriminative Fine-Tuning, GELU, Dense Connections, Cosine Annealing, Multi-Head Attention, GPT-2, WordPiece, Residual Connection",BERT,GPT,,,,
developing-and-improving-risk-models-using,Logistic Regression,Logistic Regression,,,,,
investigating-bi-lstm-and-crf-with-pos-tag,"Tanh Activation, LSTM, CRF, Sigmoid Activation, Softmax",LSTM,,,,,
fine-tuning-pre-trained-contextual-embeddings,"Attention Dropout, GELU, DropConnect, XLNet, SentencePiece, Dense Connections, WordPiece, Residual Connection, Embedding Dropout, Layer Normalization, Sigmoid Activation, Scaled Dot-Product Attention, Softmax, Weight Decay, Weight Tying, Dropout, Linear Layer, Discriminative Fine-Tuning, Variational Dropout, LSTM, Slanted Triangular Learning Rates, Multi-Head Attention, Temporal Activation Regularization, AWD-LSTM, Tanh Activation, Linear Warmup With Linear Decay, BERT, Activation Regularization, Adam, ULMFiT, BPE",BERT,LSTM,XLNet,,,
boostingbert-integrating-multi-class-boosting,"Layer Normalization, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Softmax, RoBERTa, Weight Decay, Position-Wise Feed-Forward Layer, Adam, Absolute Position Encodings, BPE, Dropout, Linear Layer, Attention Dropout, Knowledge Distillation, GELU, Dense Connections, Label Smoothing, Transformer, Multi-Head Attention, WordPiece, Residual Connection",BERT,Transformer,RoBERTa,,,
abstractive-information-extraction-from,"Tanh Activation, LSTM, Sigmoid Activation, BiLSTM",LSTM,BiLSTM,,,,
compressed-deep-networks-goodbye-svd-hello,"Scaled Dot-Product Attention, Softmax, RoBERTa, Weight Decay, Adam, BPE, Dropout, Linear Layer, Attention Dropout, GELU, XLNet, SentencePiece, Dense Connections, Multi-Head Attention, DistilBERT, WordPiece, Residual Connection, Layer Normalization, Linear Warmup With Linear Decay, BERT",BERT,XLNet,RoBERTa,,,
fairness-constraints-in-semi-supervised,Logistic Regression,Logistic Regression,,,,,
learning-functors-using-gradient-descent,"ReLU, GAN Least Squares Loss, Cycle Consistency Loss, Batch Normalization, Residual Connection, Tanh Activation, CycleGAN, Sigmoid Activation, PatchGAN, Leaky ReLU, Instance Normalization, Convolution, Residual Block",GAN,,,,,
nextdoor-gpu-based-graph-sampling-for,"DeepWalk, GraphSAGE, node2vec",GraphSAGE,,,,,
tadgan-time-series-anomaly-detection-using,"Tanh Activation, LSTM, Sigmoid Activation, Cycle Consistency Loss",LSTM,,,,,
automated-source-code-generation-and-auto,"Layer Normalization, Dense Connections, Label Smoothing, Transformer, Scaled Dot-Product Attention, Softmax, Position-Wise Feed-Forward Layer, Adam, Multi-Head Attention, Absolute Position Encodings, BPE, Dropout, Linear Layer, Residual Connection",Transformer,,,,,
rcnn-for-region-of-interest-detection-in,"Convolution, Max Pooling, Softplus, ReLU, YOLOv3, Grid Sensitive, Batch Normalization, FPN, CutMix, Mish, Spatial Attention Module, Average Pooling, Cosine Annealing, Label Smoothing, Global Average Pooling, Residual Connection, Logistic Regression, Sigmoid Activation, Bottom-up Path Augmentation, k-Means Clustering, Softmax, 1x1 Convolution, Spatial Pyramid Pooling, PAFPN, DropBlock, CSPDarknet53, Darknet-53, YOLOv4, Tanh Activation",YOLOv3,Logistic Regression,T5,YOLOv4,,
m-arcsinh-an-efficient-and-reliable-function,"m-arcsinh, SVM",SVM,,,,,
interpolating-the-trace-of-the-inverse-of,Gaussian Process,Gaussian Process,,,,,
a-multimodal-memes-classification-a-survey,"Adam, Dropout, Linear Layer, Attention Dropout, GELU, Dense Connections, Multi-Head Attention, WordPiece, Residual Connection, Layer Normalization, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Softmax, Weight Decay",BERT,,,,,
graph-representation-forecasting-of-patient-s,Graph Neural Network,GNN,,,,,
distributional-generalization-a-new-kind-of,"Global Average Pooling, Convolution, Residual Block, Max Pooling, 1x1 Convolution, ReLU, Kaiming Initialization, Batch Normalization, Bottleneck Residual Block, Residual Connection, ResNet, Distributional Generalization, Average Pooling",ResNet,,,,,
an-analysis-of-deep-neural-networks-for,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
towards-stable-imbalanced-data-classification,AutoEncoder,Autoencoder,,,,,
neu-at-wnut-2020-task-2-data-augmentation-to,"Adam, Dropout, Linear Layer, Attention Dropout, GELU, Dense Connections, Multi-Head Attention, WordPiece, Residual Connection, Layer Normalization, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Softmax, Weight Decay",BERT,,,,,
automated-stroke-rehabilitation-assessment,Gaussian Process,Gaussian Process,,,,,
persian-ezafe-recognition-using-transformers,"Adam, Dropout, Linear Layer, Attention Dropout, GELU, Dense Connections, Multi-Head Attention, WordPiece, Residual Connection, Layer Normalization, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Softmax, Weight Decay",BERT,,,,,
towards-computational-linguistics-in,"LSTM, Dense Connections, Label Smoothing, Transformer, Multi-Head Attention, Residual Connection, Tanh Activation, Layer Normalization, Sigmoid Activation, Scaled Dot-Product Attention, Softmax, Position-Wise Feed-Forward Layer, Adam, Absolute Position Encodings, BPE, Dropout, Linear Layer",Transformer,LSTM,,,,
clevr-parser-a-graph-parser-library-for,Graph Neural Network,GNN,,,,,
hidden-incentives-for-auto-induced,Q-Learning,Q-Learning,,,,,
automatic-target-recognition-atr-from-sar,"SVM, Discrete Cosine Transform",SVM,,,,,
applying-a-random-projection-algorithm-to-1,SVM,SVM,,,,,
exploiting-vietnamese-social-media,Logistic Regression,Logistic Regression,,,,,
an-intuitive-tutorial-to-gaussian-processes,Gaussian Process,Gaussian Process,,,,,
automatic-identification-of-fossils-and,"Global Average Pooling, Convolution, Residual Block, Max Pooling, 1x1 Convolution, ReLU, Kaiming Initialization, Batch Normalization, Bottleneck Residual Block, Residual Connection, ResNet, Average Pooling",ResNet,,,,,
stock-price-prediction-using-machine-learning,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
towards-the-automation-of-a-chemical,Linear Regression,Linear Regression,,,,,
a-comparative-study-of-feature-types-for-age,"Adam, Dropout, Linear Layer, Attention Dropout, GELU, Dense Connections, Multi-Head Attention, WordPiece, Residual Connection, Layer Normalization, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Softmax, Weight Decay",BERT,,,,,
end-to-end-prediction-of-parcel-delivery-time,"Global Average Pooling, Convolution, Residual Block, Max Pooling, 1x1 Convolution, ReLU, Kaiming Initialization, Batch Normalization, Bottleneck Residual Block, Residual Connection, ResNet, Average Pooling",ResNet,,,,,
transparency-auditability-and-explainability,Logistic Regression,Logistic Regression,,,,,
accelerating-multi-model-inference-by-merging,"Weight Decay, Adam, BPE, Dropout, Linear Layer, Attention Dropout, GELU, XLNet, SentencePiece, Dense Connections, Multi-Head Attention, WordPiece, Residual Connection, Layer Normalization, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Softmax",BERT,XLNet,,,,
lateral-force-prediction-using-gaussian,Gaussian Process,Gaussian Process,,,,,
a-fast-graph-neural-network-based-method-for,Graph Neural Network,GNN,,,,,
a-vietnamese-dataset-for-evaluating-machine,"Weight Decay, Adam, Dropout, BPE, Linear Layer, Attention Dropout, GELU, Dense Connections, XLM, Multi-Head Attention, WordPiece, Residual Connection, Layer Normalization, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Softmax",BERT,XLM,,,,
when-will-the-mist-clear-on-the,SVM,SVM,,,,,
brain2pix-fully-convolutional-naturalistic,"Dense Connections, Convolution, Softmax, VGG, Max Pooling, ReLU, Dropout",VGG,,,,,
ac-vae-learning-semantic-representation-with,VAE,VAE,,,,,
skillbert-skilling-the-bert-to-classify,"Adam, Dropout, Linear Layer, Attention Dropout, GELU, Dense Connections, Multi-Head Attention, Spectral Clustering, WordPiece, Residual Connection, Layer Normalization, Linear Warmup With Linear Decay, BERT, k-Means Clustering, Scaled Dot-Product Attention, Softmax, Weight Decay",BERT,,,,,
baaan-backdoor-attacks-against-auto-encoder,AutoEncoder,Autoencoder,,,,,
efficient-estimators-for-heavy-tailed-machine,Linear Regression,Linear Regression,,,,,
on-the-discovery-of-feature-importance,Logistic Regression,Logistic Regression,,,,,
improving-generalizability-of-protein,"Dense Connections, Label Smoothing, Transformer, Contrastive Learning, Multi-Head Attention, Residual Connection, Layer Normalization, Scaled Dot-Product Attention, Softmax, Position-Wise Feed-Forward Layer, Adam, Absolute Position Encodings, Dropout, BPE, Linear Layer",Transformer,,,,,
learning-a-latent-search-space-for-routing,AutoEncoder,Autoencoder,,,,,
practical-locally-private-federated-learning,"Global Average Pooling, Convolution, Residual Block, Max Pooling, 1x1 Convolution, ReLU, Kaiming Initialization, Batch Normalization, Bottleneck Residual Block, Residual Connection, ResNet, Average Pooling",ResNet,,,,,
identifying-informative-latent-variables,GIN,GIN,,,,,
real-time-automl,Graph Neural Network,GNN,,,,,
bayesian-neural-networks-with-variance,"Tanh Activation, LSTM, Sigmoid Activation, Dropout",LSTM,,,,,
towards-practical-second-order-optimization,"Adam, Dropout, Linear Layer, Attention Dropout, Distributed Shampoo, GELU, Dense Connections, Multi-Head Attention, WordPiece, Residual Connection, Layer Normalization, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Softmax, Weight Decay",BERT,,,,,
a-unified-framework-for-convolution-based,"GCN, Convolution",GCN,,,,,
ae-smote-a-multi-modal-minority-oversampling,AutoEncoder,Autoencoder,,,,,
forcenet-a-graph-neural-network-for-large,Graph Neural Network,GNN,,,,,
subspace-clustering-via-robust-self,"AutoEncoder, Softmax, Spectral Clustering",Autoencoder,,,,,
entity-embedding-as-game-representation,AutoEncoder,Autoencoder,,,,,
evaluating-progress-on-machine-learning-for,Logistic Regression,Logistic Regression,,,,,
is-ai-model-interpretable-to-combat-with,"LAMB, Multi-Head Attention, Adam, WordPiece, Linear Layer, Residual Connection, ALBERT, GELU, Layer Normalization, Dense Connections, Scaled Dot-Product Attention, Softmax",BERT,ALBERT,,,,
baaan-backdoor-attacks-against-autoencoder,AutoEncoder,Autoencoder,,,,,
logan-local-group-bias-detection-by,"GAN Hinge Loss, Spectral Normalization, Dense Connections, Natural Gradient Descent, Non-Local Block, Bottleneck Residual Block, Residual Connection, Latent Optimisation, Softmax, Euclidean Norm Regularization, 1x1 Convolution, Linear Layer, Truncation Trick, Leaky ReLU, Projection Discriminator, BigGAN-deep, Feedforward Network, TTUR, LOGAN, Conditional Batch Normalization, Early Stopping, SAGAN Self-Attention Module, SAGAN, Dot-Product Attention, Convolution, Non-Local Operation, ReLU, Adam, Off-Diagonal Orthogonal Regularization, Batch Normalization",GAN,BigGAN,BigGAN-Deep,,,
improving-efficient-neural-ranking-models,"Adam, Dropout, Linear Layer, Attention Dropout, Knowledge Distillation, GELU, Dense Connections, Multi-Head Attention, WordPiece, Residual Connection, Layer Normalization, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Softmax, Weight Decay",BERT,,,,,
using-bayesian-deep-learning-approaches-for,"Gaussian Process, Dropout",Gaussian Process,,,,,
a-machine-learning-framework-for-les-closure,GRU,GRU,,,,,
energy-based-out-of-distribution-detection-1,"WideResNet, ReLU, Kaiming Initialization, Dropout, Batch Normalization, Residual Connection, Wide Residual Block, Average Pooling, Global Average Pooling, Softmax, Convolution",ResNet,,,,,
detecting-fine-grained-cross-lingual-semantic,"Adam, Dropout, Linear Layer, Attention Dropout, GELU, Dense Connections, Multi-Head Attention, WordPiece, Residual Connection, Layer Normalization, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Softmax, Weight Decay",BERT,,,,,
combining-deep-learning-and-string-kernels,"Adam, Dropout, Linear Layer, Attention Dropout, GELU, Dense Connections, Multi-Head Attention, WordPiece, Residual Connection, Layer Normalization, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Softmax, Weight Decay",BERT,,,,,
identifying-risk-of-opioid-use-disorder-for,"Tanh Activation, Logistic Regression, LSTM, Sigmoid Activation",Logistic Regression,LSTM,,,,
hypersage-generalizing-inductive-1,GraphSAGE,GraphSAGE,,,,,
epidemioptim-a-toolbox-for-the-optimization-1,Q-Learning,Q-Learning,,,,,
from-hero-to-zeroe-a-benchmark-of-low-level,"Adam, Dropout, Linear Layer, Attention Dropout, GELU, Dense Connections, Multi-Head Attention, WordPiece, Residual Connection, Layer Normalization, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Softmax, RoBERTa, Weight Decay",BERT,RoBERTa,,,,
differentially-private-secure-multi-party,Logistic Regression,Logistic Regression,,,,,
anomaly-detection-with-conditional,"AutoEncoder, VAE",VAE,Autoencoder,,,,
online-learning-and-distributed-control-for,"Gaussian Process, Logistic Regression",Logistic Regression,Gaussian Process,,,,
category-learning-with-context-augmented,"AutoEncoder, VAE",VAE,Autoencoder,,,,
from-time-series-to-euclidean-spaces-on,AutoEncoder,Autoencoder,,,,,
model-selection-for-cross-lingual-transfer-1,mBERT,BERT,,,,,
comet-atomic-2020-on-symbolic-and-neural,"Scaled Dot-Product Attention, Softmax, Weight Decay, Linear Warmup With Cosine Annealing, Adam, BPE, Dropout, Linear Layer, Attention Dropout, GELU, Dense Connections, Fixed Factorized Attention, Cosine Annealing, Strided Attention, Multi-Head Attention, Residual Connection, GPT-3, Layer Normalization",GPT,,,,,
3dmolnet-a-generative-network-for-molecular,AutoEncoder,Autoencoder,,,,,
ensembles-of-convolutional-neural-networks,"Average Pooling, Dense Connections, Global Average Pooling, Concatenated Skip Connection, CheXNet, DenseNet, Convolution, Softmax, Max Pooling, 1x1 Convolution, Dense Block, ReLU, Kaiming Initialization, Dropout, Batch Normalization",CheXNet,DenseNet,,,,
a-generalizable-and-accessible-approach-to,Linear Regression,Linear Regression,,,,,
krighedge-gp-surrogates-for-delta-hedging,Gaussian Process,Gaussian Process,,,,,
binary-choice-with-asymmetric-loss-in-a-data,Logistic Regression,Logistic Regression,,,,,
a-generative-model-based-adversarial-security,AutoEncoder,Autoencoder,,,,,
generalizable-machine-learning-in,Graph Neural Network,GNN,,,,,
covid-19-and-arabic-twitter-how-can-arab,Logistic Regression,Logistic Regression,,,,,
federated-bayesian-optimization-via-thompson,Gaussian Process,Gaussian Process,,,,,
the-open-catalyst-2020-oc20-dataset-and,"Graph Neural Network, SchNet, Shifted Softplus",GNN,,,,,
concentration-of-solutions-to-random,Logistic Regression,Logistic Regression,,,,,
bert2dnn-bert-distillation-with-massive,"Layer Normalization, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Softmax, Weight Decay, Position-Wise Feed-Forward Layer, Adam, Absolute Position Encodings, Dropout, BPE, Linear Layer, Attention Dropout, GELU, Dense Connections, Label Smoothing, Transformer, Multi-Head Attention, WordPiece, Residual Connection",BERT,Transformer,,,,
